,50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
30,,,,,,,,,,,,,,,,,,0.630006,,,,,,,,,,,,021c7d8d-119d-4b96-91f4-cd93d91cd944,61,,"[35.4, 24.3]",3942227,1,,,,0.43535328,,Right Foot,,,,"[44.0, 28.3]",,Ground Pass,,9.484725,,,Granit Xhaka,3500.0,,,,,,1,Regular Play,Manuel Obafemi Akanji,5549.0,Center Back,6,Switzerland,773,['e444cfb0-0a3a-4604-9dcd-fc30669567b7'],27,,,,,,,,,,,,,,,,,,Switzerland,773,00:01:27.581,Pass,
31,,,,,,,,,,,,,,,,,,0.710409,,,,,,,,,,,,cae7147f-d9a6-4aae-9916-9114e8c1eb08,64,,"[44.0, 28.3]",3942227,1,,,,-2.8988562,,Left Foot,,,,"[33.5, 25.7]",,Ground Pass,,10.817116,,,Manuel Obafemi Akanji,5549.0,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,6,Switzerland,773,['8e68c7c2-71d2-42c7-8421-be1c24548ef9'],28,,,,,,,,,,,,,,,,,,Switzerland,773,00:01:28.245,Pass,
32,,,,,,,,,,,,,,,,,,1.261663,,,,,,,,,,,,bc54bf22-623a-42b6-a191-0a392907271c,67,,"[33.5, 25.7]",3942227,1,,,,-1.2186437,,Right Foot,,,,"[39.6, 9.1]",,Ground Pass,,17.685305,,,Ricardo Iván Rodríguez Araya,5544.0,,,,,,1,Regular Play,Manuel Obafemi Akanji,5549.0,Center Back,6,Switzerland,773,['57ce1360-93f6-49f9-950f-f3759c68680b'],29,,,,,,,,,,,,,,,,,,Switzerland,773,00:01:29.216,Pass,
33,,,,,,,,,,,,,,,,,,1.130448,,,,,,,,,,,,7fb3478d-bfa5-4c8b-a895-884f2431f6fb,70,,"[39.6, 9.1]",3942227,1,,,,2.4831672,,Right Foot,,,,"[29.0, 17.3]",,Ground Pass,,13.401492,,,Manuel Obafemi Akanji,5549.0,,,,,,1,Regular Play,Ricardo Iván Rodríguez Araya,5544.0,Left Center Back,6,Switzerland,773,['4ef701b5-385e-4115-aaa1-0001dc2dbe95'],34,,,,,,,,,,,,,,,,,,Switzerland,773,00:01:34.949,Pass,
34,,,,,,,,,,,,,,,,,,1.329147,,,,,,,,,,,,48f83761-30ee-4e48-a6b0-6ae8c8a5afc0,73,,"[20.2, 19.0]",3942227,1,,,,2.1563268,,Right Foot,,,,"[7.8, 37.7]",,Ground Pass,,22.43769,,,Yann Sommer,5550.0,,,,,,1,Regular Play,Manuel Obafemi Akanji,5549.0,Center Back,6,Switzerland,773,['074c0c34-1ad9-4158-ace3-8f87a80ec9f3'],38,,,,,,,,,,,,,,,,,,Switzerland,773,00:01:38.260,Pass,
35,,,,,,,,,,,,,,,,,,1.88094,,,,,,,,,,,,a293fa6d-fbaf-429c-89e6-fe0a4474deaa,77,,"[10.2, 41.8]",3942227,1,,,,1.3906286,,Left Foot,,,,"[15.3, 69.8]",,Ground Pass,,28.460674,,,Fabian Lukas Schär,5537.0,,,,,,1,Regular Play,Yann Sommer,5550.0,Goalkeeper,6,Switzerland,773,"['3653fd35-dfc0-4009-91a8-4e6bdc21df08', 'c48cbd5e-28c0-40a8-bdb5-e334888f61dd']",42,,,,,,,,,,,,,,,,,,Switzerland,773,00:01:42.519,Pass,True
36,,,,,,,,,,,,,,,,,,3.454366,,,,,,,,,,,,59d94a5f-ff03-4e7f-aa47-87fdd0b6ace4,81,,"[14.0, 78.9]",3942227,1,,,,-0.2737477,,Right Foot,,,,"[69.2, 63.4]",,High Pass,,57.334892,,,Breel-Donald Embolo,5545.0,,,,,,1,Regular Play,Fabian Lukas Schär,5537.0,Right Center Back,6,Switzerland,773,"['d4773f6b-a9b7-4a2e-a510-3402c2f03bf6', 'e633e943-8550-40da-bff6-3197fc5ef2c5']",45,,,,,,,,,,,,,,,,,,Switzerland,773,00:01:45.943,Pass,True
37,,,,,,,,,,,,,,,,,,1.118535,,,,,,,,,,,,e1b3b4a8-9761-4f11-8858-008173d24993,85,,"[65.5, 65.4]",3942227,1,,,,3.0804446,,Right Foot,,,,"[55.7, 66.0]",,Ground Pass,,9.81835,,,Fabian Rieder,50436.0,,,,,,1,Regular Play,Breel-Donald Embolo,5545.0,Center Forward,6,Switzerland,773,['b1f3d47a-97f4-4a48-b4bd-b03e769c6c53'],52,,,,,,,,,,,,,,,,,,Switzerland,773,00:01:52.280,Pass,
38,,,,,,,,,,,,,,,,,,1.360309,,,,,,,,,,,,a0b7a218-dec8-40d9-baab-2f6af213a4c1,88,,"[56.6, 66.9]",3942227,1,,,,-2.449408,,Left Foot,,,,"[37.3, 50.9]",,Ground Pass,,25.069702,,,Manuel Obafemi Akanji,5549.0,,,,,,1,Regular Play,Fabian Rieder,50436.0,Right Attacking Midfield,6,Switzerland,773,['09329909-6790-45c2-ba73-756b6c9b8ac7'],54,,,,,,,,,,,,,,,,,,Switzerland,773,00:01:54.252,Pass,
39,,,,,,,,,,,,,,,,,,1.391174,,,,,,,,,,,,a34b40ef-6766-46dd-9cfb-9326b496d30c,91,,"[42.8, 42.7]",3942227,1,,,,-0.48859045,,Right Foot,,,,"[61.8, 32.6]",,Ground Pass,,21.517668,,,Breel-Donald Embolo,5545.0,,,,,,1,Regular Play,Manuel Obafemi Akanji,5549.0,Center Back,6,Switzerland,773,['b185e5dc-bc78-473b-b3bb-965a147d37f5'],58,,,,,,,,,,,,,,,,,,Switzerland,773,00:01:58.675,Pass,
