,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
30,,,,,,,,,,,,,,,,,1.325012,,,,,,,,,,,,,,44ce7cdc-88cc-4d59-929f-106d79cd4dcd,84,,"[96.9, 71.8]",3930163,1,,,,-2.6609151,,Right Foot,,,"[80.6, 63.3]",Ground Pass,18.383144,,,,,John Stones,3244.0,,,,,,1,Regular Play,Kyle Walker,3205.0,Right Back,4,England,768,['644a55e0-1466-45bc-882d-27dc4c9ee473'],18,,,,,,,,,,,,,,,,,England,768,00:01:18.293,Pass,
31,,,,,,,,,,,,,,,,,1.639962,,,,,,,,,,,,,,190414d3-7466-49fe-bdeb-1dedf25254de,88,,"[80.6, 64.0]",3930163,1,,,,0.841284,,Right Foot,,,"[94.1, 79.1]",Ground Pass,20.254875,,,,,Trent Alexander-Arnold,3664.0,,,,,,1,Regular Play,John Stones,3244.0,Right Center Back,4,England,768,"['3586913e-9569-47d7-9dad-5d02da70db02', '991c595c-64e8-41e6-a7d0-83f8eaa1495c']",21,,,,,,,,,,,,,,,,,England,768,00:01:21.529,Pass,True
32,,,,,,,,,,,,,,,,,1.201342,,,,,,,,,,,,,,1825943f-42e3-4323-a15c-c24aa9433491,91,,"[94.1, 78.0]",3930163,1,,,,-2.326963,,Right Foot,,,"[85.8, 69.2]",Ground Pass,12.096694,,,,,Phil Foden,4354.0,,,,,,1,Regular Play,Trent Alexander-Arnold,3664.0,Right Defensive Midfield,4,England,768,['5a0a09a4-e2b7-40eb-b448-b1d04193e83c'],24,,,,,,,,,,,,,,,,,England,768,00:01:24.897,Pass,
33,,,,,,,,,,,,,,,,,2.049825,,,,,,,,,,,,,,13fb2996-7a9d-4070-9f97-4c70bf4acd0e,95,,"[82.3, 69.5]",3930163,1,,,,-2.0096557,,Left Foot,,,"[68.5, 40.1]",Ground Pass,32.477684,,,,,Marc Guehi,34526.0,,,,,,1,Regular Play,Phil Foden,4354.0,Left Wing,4,England,768,['b16740c7-ac4d-4ea6-9a27-ae0712942fd7'],27,,,,,,,,,,,,,,,,,England,768,00:01:27.139,Pass,
34,,,,,,,,,,,,,,,,,1.185971,,,,,,,,,,,,,,024874eb-db2f-4809-8931-d7b9bf0773e4,98,,"[70.3, 34.3]",3930163,1,,,,1.4576453,,Right Foot,,,"[72.3, 51.9]",Ground Pass,17.713272,,,,,John Stones,3244.0,,,,,,1,Regular Play,Marc Guehi,34526.0,Left Center Back,4,England,768,['04da37d8-99b7-4de3-a569-499ff269eea7'],31,,,,,,,,,,,,,,,,,England,768,00:01:31.115,Pass,
35,,,,,,,,,,,,,,,,,1.019916,,,,,,,,,,,,,,a073c69d-e78e-4bbf-8d83-2f9b957d6c95,101,,"[71.9, 51.5]",3930163,1,,,,1.388628,,Right Foot,,,"[73.3, 59.1]",Ground Pass,7.7278714,,,,,Kyle Walker,3205.0,,,,,,1,Regular Play,John Stones,3244.0,Right Center Back,4,England,768,['24b438eb-bbd1-4c8c-b3f5-124fd270932b'],34,,,,,,,,,,,,,,,,,England,768,00:01:34.519,Pass,
36,,,,,,,,,,,,,,,,,0.633311,,,,,,,,,,,,,,2a5463a7-2485-4de5-b561-54f6ecafe066,104,,"[73.3, 59.1]",3930163,1,,,,-0.21866895,,Right Foot,,,"[77.8, 58.1]",Ground Pass,4.609772,,,,,Declan Rice,3943.0,,,,,,1,Regular Play,Kyle Walker,3205.0,Right Back,4,England,768,['7f953eab-9f1b-4b6d-83e8-ac6b328f6592'],36,,,,,,,,,,,,,,,,,England,768,00:01:36.341,Pass,
37,,,,,,,,,,,,,,,,,1.333387,,,,,,,,,,,,,,58543155-5ec5-49c2-ad69-b9a3d6705092,107,,"[77.8, 58.1]",3930163,1,,,,1.2466477,,Right Foot,,,"[82.0, 70.6]",Ground Pass,13.186736,,,,,Jude Bellingham,30714.0,,,,,,1,Regular Play,Declan Rice,3943.0,Left Defensive Midfield,4,England,768,['2660ca71-14f8-4558-95c3-b4489fdea02b'],37,,,,,,,,,,,,,,,,,England,768,00:01:37.016,Pass,
38,,,,,,,,,,,,,,,,,1.144384,,,,,,,,,,,,,,d4925364-3022-4389-b292-9136e1850cbb,110,,"[82.0, 70.6]",3930163,1,,,,0.0,,Right Foot,,,"[93.8, 70.6]",Ground Pass,11.8,,,,,Phil Foden,4354.0,,,,,,1,Regular Play,Jude Bellingham,30714.0,Center Attacking Midfield,4,England,768,['aacd1036-6e84-49f2-8dac-03ce9bc40e0f'],38,,,,,,,,,,,,,,,,,England,768,00:01:38.606,Pass,
39,,,,,,,,,,,,,,,,,0.600697,,,,,,,,,,,,,,2fa198cd-9abc-4a75-85e1-d3bb74df73d6,114,,"[96.9, 71.3]",3930163,1,,,,1.3389317,,Left Foot,,,"[98.6, 78.5]",Ground Pass,7.3979726,,,,,Bukayo Saka,22084.0,,,,,,1,Regular Play,Phil Foden,4354.0,Left Wing,4,England,768,"['832a93dd-58d4-48f4-be4f-24513b1767a0', 'f11a56fb-5f2c-499e-91c3-2b091317de6f']",40,,,,,,,,,,,,,,,,,England,768,00:01:40.452,Pass,True
